FECHA (YYMMDD);HORA (HHMM);;
200318;2300;17,7167;
200319;0000;16,6333;
200319;0100;15,4333;
200319;0200;14,6333;
200319;0300;13,975;
200319;0400;13,1333;
200319;0500;12,325;
200319;0600;11,9192;
200319;0700;11,8;
200319;0800;14,2;
200319;0900;17,375;
200319;1000;20,1833;
200319;1100;22,575;
200319;1200;24,5333;
200319;1300;25,975;
200319;1400;27,5583;
200319;1500;28,475;
200319;1600;28,6917;
200319;1700;28,4667;
200319;1800;27,0917;
200319;1900;24,275;
200319;2000;21,55;
200319;2100;19,825;
200319;2200;18,5417;
200319;2300;17,175;
200320;0000;16,1083;
200320;0100;15,25;
200320;0200;14,5917;
200320;0300;13,8417;
200320;0400;13,3909;
200320;0500;12,8;
200320;0600;12,3685;
200320;0700;12,1417;
200320;0800;13,6667;
200320;0900;17,0333;
200320;1000;19,8333;
200320;1100;23,0417;
200320;1200;24,2833;
200320;1300;25,375;
200320;1400;26,0417;
200320;1500;26,8667;
200320;1600;27,0167;
200320;1700;26,2917;
200320;1800;24,5667;
200320;1900;21,6333;
200320;2000;19,3833;
200320;2100;17,6917;
200320;2200;16,175;
200320;2300;15,2667;
200321;0000;14,5355;
200321;0100;14,0833;
200321;0200;13,3583;
200321;0300;12,3917;
200321;0400;12,2833;
200321;0500;11,6667;
200321;0600;11,0678;
200321;0700;9,95833;
200321;0800;9,73334;
200321;0900;10,9667;
200321;1000;12,0583;
200321;1100;13,525;
200321;1200;14,325;
200321;1300;15,2083;
200321;1400;16,8167;
200321;1500;18,8167;
200321;1600;19,8;
200321;1700;20,525;
200321;1800;20,1333;
200321;1900;18,7;
200321;2000;17,65;
200321;2100;16,1667;
200321;2200;14,8;
200321;2300;13,7933;
200322;0000;13,8431;
200322;0100;13,9902;
200322;0200;13,6511;
200322;0300;12,9009;
200322;0400;12,25;
200322;0500;12,4167;
200322;0600;11,917;
200322;0700;11,25;
200322;0800;12,25;
200322;0900;14,675;
200322;1000;16,8583;
200322;1100;17,9917;
200322;1200;20,0167;
200322;1300;21,6333;
200322;1400;22,8634;
200322;1500;24,65;
200322;1600;25,875;
200322;1700;26;
200322;1800;25,812;
200322;1900;23,145;
200322;2000;20,6362;
200322;2100;18,8943;
200322;2200;17,6689;
200322;2300;16,7435;
200323;0000;15,8257;
200323;0100;14,925;
200323;0200;14,05;
200323;0300;13,3917;
200323;0400;12,5583;
200323;0500;11,625;
200323;0600;11,3866;
200323;0700;10,9167;
200323;0800;12,6917;
200323;0900;16,5;
200323;1000;18,7083;
200323;1100;21,4583;
200323;1200;24,4833;
200323;1300;28,1;
200323;1400;29,5583;
200323;1500;30,15;
200323;1600;29,9167;
200323;1700;29,2;
200323;1800;27,6833;
200323;1900;25,3333;
200323;2000;22,575;
200323;2100;20,1417;
200323;2200;18,2083;
200323;2300;16,4171;
200324;0000;15,35;
200324;0100;14,4417;
200324;0200;13,7917;
200324;0300;12,9583;
200324;0400;12,6667;
200324;0500;11,725;
200324;0600;11,2692;
200324;0700;10,7091;
200324;0800;12,9;
200324;0900;18,5083;
200324;1000;21,4667;
200324;1100;23,4667;
200324;1200;25,225;
200324;1300;26,7667;
200324;1400;27,8667;
200324;1500;28,5583;
200324;1600;28,7333;
200324;1700;27,7417;
200324;1800;25,8167;
200324;1900;23,1583;
200324;2000;21,1417;
200324;2100;19,9167;
200324;2200;18,7917;
200324;2300;17,875;
200325;0000;16,8917;
200325;0100;16,025;
200325;0200;15,4091;
200325;0300;15,2583;
200325;0400;14,6917;
200325;0500;13,8167;
200325;0600;13,1518;
200325;0700;12,95;
200325;0800;14;
200325;0900;18,2833;
200325;1000;20,2167;
200325;1100;22,125;
200325;1200;24,0583;
200325;1300;25,025;
200325;1400;26,4583;
200325;1500;27,4667;
200325;1600;28,0091;
200325;1700;28,1583;
200325;1800;27,55;
200325;1900;24,9833;
200325;2000;22,6167;
200325;2100;20,8083;
200325;2200;19,0833;
200325;2300;18,0417;
200326;0000;17,2043;
200326;0100;16,3957;
200326;0200;15,6685;
200326;0300;14,9933;
200326;0400;14,2;
200326;0500;13,868;
200326;0600;13,3094;
200326;0700;12,875;
200326;0800;14,325;
200326;0900;19,275;
200326;1000;20,35;
200326;1100;21,65;
200326;1200;23,8333;
200326;1300;25,425;
200326;1400;26,2417;
200326;1500;26,0833;
200326;1600;25,675;
200326;1700;24,875;
200326;1800;24,025;
200326;1900;21,55;
200326;2000;19,2333;
200326;2100;18,0417;
200326;2200;16,9333;
200326;2300;15,8433;
200327;0000;14,7431;
200327;0100;13,8;
200327;0200;13,1;
200327;0300;12,1583;
200327;0400;12,2417;
200327;0500;12,3917;
200327;0600;12,7336;
200327;0700;12,8917;
200327;0800;13,3167;
200327;0900;14,0917;
200327;1000;14,5;
200327;1100;14,8167;
200327;1200;16,0417;
200327;1300;17,625;
200327;1400;18,8;
200327;1500;19,875;
200327;1600;20,3818;
200327;1700;20,2667;
200327;1800;19,975;
200327;1900;17,9417;
200327;2000;16,4696;
200327;2100;15,4846;
200327;2200;14,7167;
200327;2300;13,9583;
200328;0000;13,4757;
200328;0100;12,8917;
200328;0200;12,2667;
200328;0300;11,875;
200328;0400;11,5833;
200328;0500;12,2333;
200328;0600;13,2616;
200328;0700;13,7667;
200328;0800;14,1583;
200328;0900;14,6583;
200328;1000;15,175;
200328;1100;16,4167;
200328;1200;18,15;
200328;1300;19,2417;
