FECHA (YYMMDD);HORA (HHMM);;
200313;2300;0,549116;
200314;0000;0,270365;
200314;0100;0,246182;
200314;0200;0,0227588;
200314;0300;0,21266;
200314;0400;0,240418;
200314;0500;0,255422;
200314;0600;0,204338;
200314;0700;0,178165;
200314;0800;0,473619;
200314;0900;0,535421;
200314;1000;0,659288;
200314;1100;0,609663;
200314;1200;0,719937;
200314;1300;1,07877;
200314;1400;1,68486;
200314;1500;1,65024;
200314;1600;2,34189;
200314;1700;2,25804;
200314;1800;2,45837;
200314;1900;2,22706;
200314;2000;1,40338;
200314;2100;1,32984;
200314;2200;0,764646;
200314;2300;0,223965;
200315;0000;0,0920002;
200315;0100;0,0842984;
200315;0200;0,117605;
200315;0300;0,171087;
200315;0400;0,0476829;
200315;0500;0,0648243;
200315;0600;0,0649294;
200315;0700;0,0289728;
200315;0800;0,105464;
200315;0900;0,122019;
200315;1000;0,447461;
200315;1100;0,835417;
200315;1200;0,976081;
200315;1300;0,971891;
200315;1400;1,6293;
200315;1500;2,13353;
200315;1600;2,72622;
200315;1700;2,58139;
200315;1800;2,67168;
200315;1900;2,11064;
200315;2000;1,54093;
200315;2100;1,54097;
200315;2200;1,09185;
200315;2300;0,22551;
200316;0000;0,364279;
200316;0100;0,0350566;
200316;0200;0,311911;
200316;0300;0,0952967;
200316;0400;0,245254;
200316;0500;0,0355293;
200316;0600;0,276085;
200316;0700;0,135874;
200316;0800;0,501953;
200316;0900;1,2309;
200316;1000;1,19636;
200316;1100;1,49516;
200316;1200;1,36248;
200316;1300;1,93358;
200316;1400;2,68058;
200316;1500;2,85273;
200316;1600;2,97816;
200316;1700;2,88529;
200316;1800;2,74194;
200316;1900;2,28546;
200316;2000;2,12482;
200316;2100;1,69946;
200316;2200;1,13547;
200316;2300;0,958489;
200317;0000;0,628253;
200317;0100;1,18718;
200317;0200;0,338783;
200317;0300;0,547127;
200317;0400;0,498828;
200317;0500;0,370726;
200317;0600;0,468388;
200317;0700;0,664091;
200317;0800;0,481095;
200317;0900;0,473413;
200317;1000;0,601632;
200317;1100;0,727579;
200317;1200;0,811428;
200317;1300;0,918361;
200317;1400;1,52982;
200317;1500;1,74999;
200317;1600;2,4036;
200317;1700;2,34512;
200317;1800;2,30526;
200317;1900;1,87529;
200317;2000;1,38106;
200317;2100;1,06099;
200317;2200;0,7532;
200317;2300;0,383697;
200318;0000;0,0181139;
200318;0100;0,0393168;
200318;0200;0,211178;
200318;0300;0,0165136;
200318;0400;0,0585066;
200318;0500;0,052538;
200318;0600;0,0307609;
200318;0700;0,0884213;
200318;0800;0,254233;
200318;0900;0,887992;
200318;1000;0,849905;
200318;1100;0,352069;
200318;1200;0,703346;
200318;1300;1,11047;
200318;1400;1,90732;
200318;1500;2,41303;
200318;1600;2,78913;
200318;1700;2,81577;
200318;1800;2,73251;
200318;1900;2,1447;
200318;2000;1,37092;
200318;2100;1,25726;
200318;2200;0,764089;
200318;2300;0,340345;
200319;0000;0,290384;
