FECHA (YYMMDD);HORA (HHMM);;
200405;1500;260,274;
200405;1600;247,343;
200405;1700;243,586;
200405;1800;240,443;
200405;1900;239,797;
200405;2000;228,761;
200405;2100;39,1387;
200405;2200;331,234;
200405;2300;305,254;
200406;0000;346,178;
200406;0100;282,136;
200406;0200;25,6898;
200406;0300;224,032;
200406;0400;113,216;
200406;0500;132,56;
200406;0600;175,303;
200406;0700;114,509;
200406;0800;178,676;
200406;0900;347,909;
200406;1000;317,405;
200406;1100;44,057;
200406;1200;39,8949;
200406;1300;183,536;
200406;1400;251,442;
200406;1500;247,134;
200406;1600;227,854;
200406;1700;227,33;
200406;1800;227,257;
200406;1900;236,077;
200406;2000;239,193;
200406;2100;149,931;
200406;2200;173,041;
200406;2300;119,187;
200407;0000;11,4334;
200407;0100;303,532;
200407;0200;221,491;
200407;0300;122,319;
200407;0400;119,577;
200407;0500;136,25;
200407;0600;126,67;
200407;0700;145,691;
200407;0800;138,715;
200407;0900;33,2776;
200407;1000;54,5292;
200407;1100;90,2874;
200407;1200;324,644;
200407;1300;258,195;
200407;1400;229,93;
200407;1500;247,345;
200407;1600;235,155;
200407;1700;236,927;
200407;1800;237,768;
200407;1900;228,384;
200407;2000;224,116;
200407;2100;280,769;
200407;2200;20,5713;
200407;2300;321,366;
200408;0000;266,838;
200408;0100;265,462;
200408;0200;277,794;
200408;0300;308,454;
200408;0400;208,662;
200408;0500;161,111;
200408;0600;87,8538;
200408;0700;262,758;
200408;0800;2,42097;
200408;0900;263,52;
200408;1000;276,417;
200408;1100;237,693;
200408;1200;252,066;
200408;1300;241,875;
200408;1400;233,803;
200408;1500;233,92;
200408;1600;227,353;
200408;1700;225,061;
200408;1800;232,361;
200408;1900;228,214;
200408;2000;235,039;
200408;2100;244,177;
200408;2200;243,943;
200408;2300;245,608;
200409;0000;243,109;
200409;0100;259,221;
200409;0200;245,047;
200409;0300;254,592;
200409;0400;249,67;
200409;0500;220,689;
200409;0600;186,019;
200409;0700;188,372;
200409;0800;168,677;
200409;0900;194,949;
200409;1000;252,416;
200409;1100;280,778;
200409;1200;259,317;
200409;1300;217,809;
200409;1400;243,819;
200409;1500;235,28;
200409;1600;234,804;
200409;1700;236,887;
200409;1800;246,506;
200409;1900;245,493;
200409;2000;231,585;
200409;2100;236,031;
200409;2200;246,164;
200409;2300;261,308;
200410;0000;249,377;
200410;0100;233,932;
200410;0200;246,363;
200410;0300;237,295;
200410;0400;244,967;
200410;0500;256,125;
200410;0600;224,383;
200410;0700;233,001;
200410;0800;232,495;
200410;0900;221,673;
200410;1000;152,216;
200410;1100;267,307;
200410;1200;268,331;
200410;1300;245,936;
200410;1400;261,625;
200410;1500;238,241;
200410;1600;228,727;
200410;1700;232,483;
200410;1800;225,873;
200410;1900;227,251;
200410;2000;232,771;
200410;2100;244,398;
200410;2200;250,41;
200410;2300;238,741;
200411;0000;241,065;
200411;0100;236,184;
200411;0200;331,451;
200411;0300;274,474;
200411;0400;285,887;
200411;0500;276,87;
200411;0600;277,532;
200411;0700;248,013;
200411;0800;86,7336;
200411;0900;253,615;
200411;1000;239,05;
200411;1100;273,278;
200411;1200;243,576;
200411;1300;223,695;
200411;1400;230,862;
200411;1500;246,686;
200411;1600;239,686;
200411;1700;232,596;
200411;1800;233,746;
200411;1900;228,562;
200411;2000;228,428;
200411;2100;239,721;
200411;2200;232,782;
200411;2300;228,701;
200412;0000;242,048;
200412;0100;255,333;
200412;0200;239,567;
200412;0300;242,427;
200412;0400;265,614;
200412;0500;270,079;
200412;0600;270,263;
200412;0700;250,195;
200412;0800;271,959;
200412;0900;278,154;
200412;1000;258,844;
200412;1100;340,958;
200412;1200;46,0918;
200412;1300;281,43;
200412;1400;269,624;
200412;1500;213,58;
200412;1600;196,521;
200412;1700;226,103;
200412;1800;235,771;
200412;1900;237,247;
200412;2000;225,445;
200412;2100;197,909;
200412;2200;222,448;
200412;2300;193,485;
200413;0000;103,126;
200413;0100;257,722;
200413;0200;257,207;
200413;0300;274,397;
200413;0400;285,93;
200413;0500;254,939;
200413;0600;251,916;
200413;0700;216,71;
200413;0800;174,635;
200413;0900;253,85;
200413;1000;358,447;
200413;1100;295,959;
200413;1200;257,801;
200413;1300;153,98;
200413;1400;161,428;
200413;1500;266,682;
200413;1600;245,374;
200413;1700;244,452;
200413;1800;247,748;
200413;1900;236,608;
200413;2000;217,87;
200413;2100;92,5864;
200413;2200;108,367;
200413;2300;123,076;
200414;0000;312,503;
200414;0100;289,379;
200414;0200;141,714;
200414;0300;111,594;
200414;0400;134,286;
200414;0500;138,311;
200414;0600;151,85;
200414;0700;110,088;
200414;0800;121,733;
200414;0900;214,872;
200414;1000;279,121;
200414;1100;83,3488;
200414;1200;110,551;
200414;1300;241,814;
200414;1400;228,052;
200414;1500;232,1;
200414;1600;229,285;
200414;1700;237,918;
200414;1800;240,007;
200414;1900;234,788;
200414;2000;217,226;
200414;2100;172,847;
200414;2200;216,109;
200414;2300;191,265;
200415;0000;258,474;
200415;0100;272,284;
200415;0200;288,925;
200415;0300;347,085;
200415;0400;249,333;
200415;0500;87,3491;
200415;0600;149,509;
200415;0700;329,29;
200415;0800;260,674;
200415;0900;265,083;
200415;1000;266,431;
200415;1100;266,12;
200415;1200;295,837;
200415;1300;272,636;
200415;1400;253,979;
200415;1500;234,281;
200415;1600;237,168;
200415;1700;232,526;
200415;1800;229,267;
200415;1900;234,973;
200415;2000;234,225;
200415;2100;245,626;
200415;2200;277,255;
200415;2300;262,379;
200416;0000;49,9982;
200416;0100;283,876;
200416;0200;267,988;
200416;0300;169,597;
200416;0400;269,366;
200416;0500;275,299;
200416;0600;234,555;
200416;0700;103,102;
200416;0800;275,636;
200416;0900;342,747;
200416;1000;15,7132;
200416;1100;75,6008;
200416;1200;231,445;
200416;1300;248,293;
200416;1400;231,805;
200416;1500;242,92;
200416;1600;234,24;
200416;1700;240,499;
200416;1800;235,631;
200416;1900;227,155;
200416;2000;225,379;
200416;2100;297,706;
200416;2200;2,02135;
200416;2300;189,834;
200417;0000;311,84;
200417;0100;281,098;
200417;0200;133,658;
200417;0300;103,962;
200417;0400;119,293;
200417;0500;123,857;
200417;0600;193,747;
200417;0700;146,527;
200417;0800;225,661;
200417;0900;131,353;
200417;1000;218,319;
200417;1100;57,3255;
200417;1200;235,17;
200417;1300;222,981;
200417;1400;165,285;
200417;1500;249,337;
200417;1600;240,08;
200417;1700;234,316;
200417;1800;236,283;
200417;1900;239,602;
200417;2000;22,49;
200417;2100;149,575;
200417;2200;208,947;
200417;2300;82,9596;
200418;0000;152,794;
200418;0100;124,781;
200418;0200;151,021;
200418;0300;130,353;
200418;0400;108,083;
200418;0500;110,933;
200418;0600;142,447;
200418;0700;116,626;
200418;0800;132,833;
200418;0900;142,406;
200418;1000;184,938;
200418;1100;206,749;
200418;1200;254,814;
200418;1300;215,576;
200418;1400;208,593;
200418;1500;222,447;
200418;1600;230,505;
200418;1700;248,553;
200418;1800;241,284;
200418;1900;216,414;
200418;2000;218,431;
200418;2100;170,303;
200418;2200;271,395;
200418;2300;326,837;
200419;0000;314,679;
200419;0100;53,8047;
200419;0200;271,654;
200419;0300;55,5321;
200419;0400;54,4184;
200419;0500;148,116;
200419;0600;93,7463;
200419;0700;98,7375;
200419;0800;155,719;
200419;0900;139,947;
200419;1000;167,535;
200419;1100;149,638;
200419;1200;314,766;
200419;1300;234,297;
200419;1400;242,692;
200419;1500;221,027;
200419;1600;236,567;
200419;1700;236,937;
200419;1800;228,904;
200419;1900;226,957;
200419;2000;203,211;
200419;2100;212,118;
200419;2200;221,169;
200419;2300;269,061;
200420;0000;219,602;
200420;0100;209,482;
200420;0200;259,548;
200420;0300;243,339;
200420;0400;84,6959;
200420;0500;235,171;
200420;0600;198,423;
200420;0700;119,381;
200420;0800;116,648;
200420;0900;224,338;
200420;1000;249,981;
200420;1100;271,976;
200420;1200;245,932;
200420;1300;245,865;
200420;1400;238,232;
200420;1500;210,875;
200420;1600;218,113;
200420;1700;212,522;
200420;1800;228,557;
200420;1900;207,68;
200420;2000;13,0177;
200420;2100;183,377;
200420;2200;233,53;
200420;2300;281,439;
200421;0000;39,6215;
200421;0100;147,571;
200421;0200;103,532;
200421;0300;128,228;
200421;0400;309,975;
200421;0500;277,918;
200421;0600;300,009;
200421;0700;290,929;
200421;0800;89,6287;
200421;0900;253,851;
200421;1000;218,83;
200421;1100;246,8;
200421;1200;55,605;
200421;1300;307,534;
200421;1400;255,535;
200421;1500;233,936;
200421;1600;228,354;
200421;1700;236,599;
200421;1800;235,015;
200421;1900;225,405;
200421;2000;211,925;
200421;2100;239,854;
200421;2200;230,501;
200421;2300;260,181;
200422;0000;171,08;
200422;0100;272,054;
200422;0200;256,963;
200422;0300;336,058;
200422;0400;343,613;
200422;0500;16,1285;
200422;0600;272,528;
200422;0700;178,081;
200422;0800;199,682;
200422;0900;262,122;
200422;1000;256,088;
